------------------------------------------------------
|  Number  |      |  Monthly     |  Yearly Balance  **|
| Of Years |      |Contributions |4.5   % |5     .0% |5.5   % |
|          |      |              |      |      |      |
|306       |2017  |3150.00|5064268800.00 |807140.75|66811719680.00|
|          |      |              |      |      |      |
|307       |2017  |3160.00|5292163584.00 |813663.81|70486360064.00|
|          |      |              |      |      |      |
|308       |2017  |3170.00|5530313728.00 |820224.06|74363109376.00|
|          |      |              |      |      |      |
|309       |2017  |3180.00|5779180544.00 |826821.69|78453080064.00|
|          |      |              |      |      |      |
|310       |2017  |3190.00|6039246336.00 |833456.75|82767994880.00|
|          |      |              |      |      |      |
|311       |2017  |3200.00|6311015424.00 |840129.50|87320231936.00|
|          |      |              |      |      |      |
|312       |2017  |3210.00|6595014144.00 |846840.06|92122841088.00|
|          |      |              |      |      |      |
|313       |2017  |3220.00|6891792384.00 |853588.56|97189593088.00|
|          |      |              |      |      |      |
|314       |2017  |3230.00|7201925632.00 |860375.19|102535012352.00|
|          |      |              |      |      |      |
|315       |2017  |3240.00|7526014976.00 |867200.06|108174434304.00|
|          |      |              |      |      |      |
|316       |2017  |3250.00|7864688640.00 |874063.38|114124021760.00|
|          |      |              |      |      |      |
|317       |2017  |3260.00|8218602496.00 |880965.31|120400838656.00|
|          |      |              |      |      |      |
|318       |2017  |3270.00|8588442112.00 |887906.00|127022874624.00|
|          |      |              |      |      |      |
|319       |2017  |3280.00|8974924800.00 |894885.63|134009126912.00|
|          |      |              |      |      |      |
|320       |2017  |3290.00|9378798592.00 |901904.31|141379616768.00|
|          |      |              |      |      |      |
|321       |2017  |3300.00|9800847360.00 |908962.25|149155495936.00|
|          |      |              |      |      |      |
|322       |2017  |3310.00|10241888256.00 |916059.56|157359046656.00|
|          |      |              |      |      |      |
|323       |2017  |3320.00|10702776320.00 |923196.50|166013779968.00|
|          |      |              |      |      |      |
|324       |2017  |3330.00|11184403456.00 |930373.13|175144534016.00|
|          |      |              |      |      |      |
|325       |2017  |3340.00|11687704576.00 |937589.69|184777474048.00|
|          |      |              |      |      |      |
|326       |2017  |3350.00|12213653504.00 |944846.31|194940223488.00|
|          |      |              |      |      |      |
|327       |2017  |3360.00|12763270144.00 |952143.19|205661929472.00|
|          |      |              |      |      |      |
|328       |2017  |3370.00|13337619456.00 |959480.44|216973328384.00|
|          |      |              |      |      |      |
|329       |2017  |3380.00|13937814528.00 |966858.25|228906844160.00|
|          |      |              |      |      |      |
|330       |2017  |3390.00|14565018624.00 |974276.81|241496702976.00|
|          |      |              |      |      |      |
|331       |2017  |3400.00|15220447232.00 |981736.31|254779015168.00|
|          |      |              |      |      |      |
|332       |2017  |3410.00|15905370112.00 |989236.88|268791840768.00|
|          |      |              |      |      |      |
|333       |2017  |3420.00|16621114368.00 |996778.69|283575386112.00|
|          |      |              |      |      |      |
|334       |2017  |3430.00|17369067520.00 |1004361.94|299172003840.00|
|          |      |              |      |      |      |
|335       |2017  |3440.00|18150678528.00 |1011986.75|315626455040.00|
|          |      |              |      |      |      |
|336       |2017  |3450.00|18967461888.00 |1019653.38|332985892864.00|
|          |      |              |      |      |      |
|337       |2017  |3460.00|19821000704.00 |1027361.94|351300091904.00|
|          |      |              |      |      |      |
|338       |2017  |3470.00|20712949760.00 |1035112.63|370621579264.00|
|          |      |              |      |      |      |
|339       |2017  |3480.00|21645035520.00 |1042905.63|391005732864.00|
|          |      |              |      |      |      |
|340       |2017  |3490.00|22619064320.00 |1050741.13|412511043584.00|
|          |      |              |      |      |      |
|341       |2017  |3500.00|23636924416.00 |1058619.25|435199115264.00|
|          |      |              |      |      |      |
|342       |2017  |3510.00|24700590080.00 |1066540.13|459135057920.00|
|          |      |              |      |      |      |
|343       |2017  |3520.00|25812119552.00 |1074504.00|484387454976.00|
|          |      |              |      |      |      |
|344       |2017  |3530.00|26973667328.00 |1082511.13|511028723712.00|
|          |      |              |      |      |      |
|345       |2017  |3540.00|28187486208.00 |1090561.63|539135279104.00|
|          |      |              |      |      |      |
|346       |2017  |3550.00|29455925248.00 |1098655.63|568787664896.00|
|          |      |              |      |      |      |
|347       |2017  |3560.00|30781444096.00 |1106793.38|600070946816.00|
|          |      |              |      |      |      |
|348       |2017  |3570.00|32166610944.00 |1114975.00|633074810880.00|
|          |      |              |      |      |      |
|349       |2017  |3580.00|33614110720.00 |1123200.75|667893891072.00|
|          |      |              |      |      |      |
|350       |2017  |3590.00|35126747136.00 |1131470.75|704627998720.00|
|          |      |              |      |      |      |
|351       |2017  |3600.00|36707454976.00 |1139785.25|743382515712.00|
|          |      |              |      |      |      |
|352       |2017  |3610.00|38359293952.00 |1148144.38|784268525568.00|
|          |      |              |      |      |      |
|353       |2017  |3620.00|40085463040.00 |1156548.25|827403272192.00|
|          |      |              |      |      |      |
|354       |2017  |3630.00|41889312768.00 |1164997.25|872910422016.00|
|          |      |              |      |      |      |
|355       |2017  |3640.00|43774332928.00 |1173491.38|920920457216.00|
|          |      |              |      |      |      |
|356       |2017  |3650.00|45744181248.00 |1182030.88|971571003392.00|
|          |      |              |      |      |      |
|357       |2017  |3660.00|47802671104.00 |1190616.00|1025007353856.00|
|          |      |              |      |      |      |
|358       |2017  |3670.00|49953792000.00 |1199246.88|1081382731776.00|
|          |      |              |      |      |      |
|359       |2017  |3680.00|52201713664.00 |1207923.75|1140858683392.00|
|          |      |              |      |      |      |
|360       |2017  |3690.00|54550794240.00 |1216646.75|1203605864448.00|
|          |      |              |      |      |      |
|361       |2017  |3700.00|57005580288.00 |1225416.13|1269804171264.00|
|          |      |              |      |      |      |
|362       |2017  |3710.00|59570831360.00 |1234232.00|1339643396096.00|
|          |      |              |      |      |      |
|363       |2017  |3720.00|62251520000.00 |1243094.63|1413323685888.00|
|          |      |              |      |      |      |
|364       |2017  |3730.00|65052839936.00 |1252004.13|1491056459776.00|
|          |      |              |      |      |      |
|365       |2017  |3740.00|67980218368.00 |1260960.75|1573064540160.00|
|          |      |              |      |      |      |
|366       |2017  |3750.00|71039328256.00 |1269964.75|1659583070208.00|
|          |      |              |      |      |      |
|367       |2017  |3760.00|74236092416.00 |1279016.25|1750860038144.00|
|          |      |              |      |      |      |
|368       |2017  |3770.00|77576716288.00 |1288115.50|1847157194752.00|
|          |      |              |      |      |      |
|369       |2017  |3780.00|81067663360.00 |1297262.63|1948750708736.00|
|          |      |              |      |      |      |
|370       |2017  |3790.00|84715708416.00 |1306457.88|2055931953152.00|
|          |      |              |      |      |      |
|371       |2017  |3800.00|88527912960.00 |1315701.50|2169008160768.00|
|          |      |              |      |      |      |
|372       |2017  |3810.00|92511666176.00 |1324993.63|2288303472640.00|
|          |      |              |      |      |      |
|373       |2017  |3820.00|96674684928.00 |1334334.38|2414160117760.00|
|          |      |              |      |      |      |
|374       |2017  |3830.00|101025038336.00 |1343724.13|2546938675200.00|
|          |      |              |      |      |      |
|375       |2017  |3840.00|105571164160.00 |1353163.00|2687020040192.00|
|          |      |              |      |      |      |
|376       |2017  |3850.00|110321860608.00 |1362651.13|2834806079488.00|
|          |      |              |      |      |      |
|377       |2017  |3860.00|115286343680.00 |1372188.88|2990720155648.00|
|          |      |              |      |      |      |
|378       |2017  |3870.00|120474222592.00 |1381776.38|3155209486336.00|
|          |      |              |      |      |      |
|379       |2017  |3880.00|125895557120.00 |1391413.75|3328745930752.00|
|          |      |              |      |      |      |
|380       |2017  |3890.00|131560849408.00 |1401101.25|3511826776064.00|
|          |      |              |      |      |      |
|381       |2017  |3900.00|137481076736.00 |1410839.13|3704977096704.00|
|          |      |              |      |      |      |
|382       |2017  |3910.00|143667724288.00 |1420627.63|3908750540800.00|
|          |      |              |      |      |      |
|383       |2017  |3920.00|150132768768.00 |1430466.88|4123731689472.00|
|          |      |              |      |      |      |
|384       |2017  |3930.00|156888743936.00 |1440357.13|4350536843264.00|
|          |      |              |      |      |      |
|385       |2017  |3940.00|163948724224.00 |1450298.63|4589816381440.00|
|          |      |              |      |      |      |
|386       |2017  |3950.00|171326406656.00 |1460291.50|4842255810560.00|
|          |      |              |      |      |      |
|387       |2017  |3960.00|179036094464.00 |1470336.00|5108579434496.00|
|          |      |              |      |      |      |
|388       |2017  |3970.00|187092713472.00 |1480432.38|5389551140864.00|
|          |      |              |      |      |      |
|389       |2017  |3980.00|195511877632.00 |1490580.88|5685976236032.00|
|          |      |              |      |      |      |
|390       |2017  |3990.00|204309905408.00 |1500781.63|5998704590848.00|
|          |      |              |      |      |      |
|391       |2017  |4000.00|213503836160.00 |1511034.88|6328633262080.00|
|          |      |              |      |      |      |
|392       |2017  |4010.00|223111495680.00 |1521340.88|6676707540992.00|
|          |      |              |      |      |      |
|393       |2017  |4020.00|233151496192.00 |1531699.75|7043926196224.00|
|          |      |              |      |      |      |
|394       |2017  |4030.00|243643301888.00 |1542111.88|7431341998080.00|
|          |      |              |      |      |      |
|395       |2017  |4040.00|254607245312.00 |1552577.38|7840065388544.00|
|          |      |              |      |      |      |
|396       |2017  |4050.00|266064560128.00 |1563096.50|8271268675584.00|
|          |      |              |      |      |      |
|397       |2017  |4060.00|278037463040.00 |1573669.38|8726188130304.00|
|          |      |              |      |      |      |
|398       |2017  |4070.00|290549137408.00 |1584296.38|9206128181248.00|
|          |      |              |      |      |      |
|399       |2017  |4080.00|303623831552.00 |1594977.63|9712464560128.00|
|          |      |              |      |      |      |
|400       |2017  |4090.00|317286875136.00 |1605713.38|10246650068992.00|
|          |      |              |      |      |      |
|401       |2017  |4100.00|331564777472.00 |1616503.88|10810215628800.00|
|          |      |              |      |      |      |
|402       |2017  |4110.00|346485161984.00 |1627349.25|11404777095168.00|
|          |      |              |      |      |      |
|403       |2017  |4120.00|362076995584.00 |1638249.88|12032039452672.00|
|          |      |              |      |      |      |
|404       |2017  |4130.00|378370457600.00 |1649205.88|12693801009152.00|
|          |      |              |      |      |      |
|405       |2017  |4140.00|395397103616.00 |1660217.63|13391959687168.00|
|          |      |              |      |      |      |
|406       |2017  |4150.00|413189963776.00 |1671285.25|14128517218304.00|
|          |      |              |      |      |      |
|407       |2017  |4160.00|431783510016.00 |1682409.00|14905585434624.00|
|          |      |              |      |      |      |
|408       |2017  |4170.00|451213754368.00 |1693589.00|15725391511552.00|
|          |      |              |      |      |      |
|409       |2017  |4180.00|471518347264.00 |1704825.63|16590287405056.00|
|          |      |              |      |      |      |
|410       |2017  |4190.00|492736643072.00 |1716119.13|17502751948800.00|
|          |      |              |      |      |      |
|411       |2017  |4200.00|514909765632.00 |1727469.63|18465402388480.00|
|          |      |              |      |      |      |
|412       |2017  |4210.00|538080673792.00 |1738877.38|19480998576128.00|
|          |      |              |      |      |      |
|413       |2017  |4220.00|562294292480.00 |1750342.75|20552452407296.00|
|          |      |              |      |      |      |
|414       |2017  |4230.00|587597479936.00 |1761865.88|21682836209664.00|
|          |      |              |      |      |      |
|415       |2017  |4240.00|614039355392.00 |1773447.00|22875390083072.00|
|          |      |              |      |      |      |
|416       |2017  |4250.00|641671102464.00 |1785086.38|24133534482432.00|
|          |      |              |      |      |      |
|417       |2017  |4260.00|670546264064.00 |1796784.25|25460878606336.00|
|          |      |              |      |      |      |
|418       |2017  |4270.00|700720807936.00 |1808540.88|26861224591360.00|
|          |      |              |      |      |      |
|419       |2017  |4280.00|732253192192.00 |1820356.50|28338590580736.00|
|          |      |              |      |      |      |
|420       |2017  |4290.00|765204561920.00 |1832231.38|29897210724352.00|
|          |      |              |      |      |      |
|421       |2017  |4300.00|799638749184.00 |1844165.63|31541556150272.00|
|          |      |              |      |      |      |
|422       |2017  |4310.00|835622469632.00 |1856159.63|33276339159040.00|
|          |      |              |      |      |      |
|423       |2017  |4320.00|873225453568.00 |1868213.63|35106536292352.00|
|          |      |              |      |      |      |
|424       |2017  |4330.00|912520577024.00 |1880327.88|37037394624512.00|
|          |      |              |      |      |      |
|425       |2017  |4340.00|953583992832.00 |1892502.63|39074450636800.00|
|          |      |              |      |      |      |
|426       |2017  |4350.00|996495261696.00 |1904738.00|41223544897536.00|
|          |      |              |      |      |      |
|427       |2017  |4360.00|1041337483264.00 |1917034.38|43490838839296.00|
|          |      |              |      |      |      |
|428       |2017  |4370.00|1088197623808.00 |1929392.00|45882833633280.00|
|          |      |              |      |      |      |
|429       |2017  |4380.00|1137166516224.00 |1941811.13|48406386966528.00|
|          |      |              |      |      |      |
|430       |2017  |4390.00|1188338991104.00 |1954292.00|51068734013440.00|
|          |      |              |      |      |      |
|431       |2017  |4400.00|1241814138880.00 |1966834.88|53877512601600.00|
|          |      |              |      |      |      |
|432       |2017  |4410.00|1297695768576.00 |1979440.00|56840771600384.00|
|          |      |              |      |      |      |
|433       |2017  |4420.00|1356092014592.00 |1992107.63|59967012864000.00|
|          |      |              |      |      |      |
|434       |2017  |4430.00|1417116123136.00 |2004838.13|63265195425792.00|
|          |      |              |      |      |      |
|435       |2017  |4440.00|1480886321152.00 |2017631.63|66744777441280.00|
|          |      |              |      |      |      |
|436       |2017  |4450.00|1547526078464.00 |2030488.38|70415737159680.00|
|          |      |              |      |      |      |
|437       |2017  |4460.00|1617164632064.00 |2043408.75|74288598089728.00|
|          |      |              |      |      |      |
|438       |2017  |4470.00|1689936986112.00 |2056393.00|78374470942720.00|
|          |      |              |      |      |      |
|439       |2017  |4480.00|1765984043008.00 |2069441.25|82685066215424.00|
|          |      |              |      |      |      |
|440       |2017  |4490.00|1845453258752.00 |2082553.88|87232740327424.00|
|          |      |              |      |      |      |
|441       |2017  |4500.00|1928498511872.00 |2095731.13|92030537564160.00|
|          |      |              |      |      |      |
|442       |2017  |4510.00|2015280889856.00 |2108973.25|97092215242752.00|
|          |      |              |      |      |      |
|443       |2017  |4520.00|2105968427008.00 |2122280.75|102432285655040.00|
|          |      |              |      |      |      |
|444       |2017  |4530.00|2200736890880.00 |2135653.50|108066058010624.00|
|          |      |              |      |      |      |
|445       |2017  |4540.00|2299769913344.00 |2149092.00|114009688768512.00|
|          |      |              |      |      |      |
|446       |2017  |4550.00|2403259383808.00 |2162596.50|120280215191552.00|
|          |      |              |      |      |      |
|447       |2017  |4560.00|2511405842432.00 |2176167.25|126895622455296.00|
|          |      |              |      |      |      |
|448       |2017  |4570.00|2624419004416.00 |2189804.50|133874877202432.00|
|          |      |              |      |      |      |
|449       |2017  |4580.00|2742517760000.00 |2203508.75|141237986263040.00|
|          |      |              |      |      |      |
|450       |2017  |4590.00|2865930960896.00 |2217280.00|149006072152064.00|
|          |      |              |      |      |      |
|451       |2017  |4600.00|2994897682432.00 |2231118.75|157201406623744.00|
|          |      |              |      |      |      |
|452       |2017  |4610.00|3129668009984.00 |2245025.00|165847477780480.00|
|          |      |              |      |      |      |
|453       |2017  |4620.00|3270503038976.00 |2258999.25|174969082347520.00|
|          |      |              |      |      |      |
|454       |2017  |4630.00|3417675661312.00 |2273041.75|184592376004608.00|
|          |      |              |      |      |      |
|455       |2017  |4640.00|3571470827520.00 |2287152.75|194744940494848.00|
|          |      |              |      |      |      |
|456       |2017  |4650.00|3732186857472.00 |2301332.50|205455901065216.00|
|          |      |              |      |      |      |
|457       |2017  |4660.00|3900135178240.00 |2315581.50|216755960020992.00|
|          |      |              |      |      |      |
|458       |2017  |4670.00|4075641110528.00 |2329899.75|228677530943488.00|
|          |      |              |      |      |      |
|459       |2017  |4680.00|4259044655104.00 |2344287.75|241254789021696.00|
|          |      |              |      |      |      |
|460       |2017  |4690.00|4450701279232.00 |2358745.50|254523788492800.00|
|          |      |              |      |      |      |
|461       |2017  |4700.00|4650982440960.00 |2373273.50|268522580082688.00|
|          |      |              |      |      |      |
|462       |2017  |4710.00|4860276637696.00 |2387872.25|283291311669248.00|
|          |      |              |      |      |      |
|463       |2017  |4720.00|5078988619776.00 |2402541.75|298872312168448.00|
|          |      |              |      |      |      |
|464       |2017  |4730.00|5307543060480.00 |2417282.25|315310259306496.00|
|          |      |              |      |      |      |
|465       |2017  |4740.00|5546382458880.00 |2432094.25|332652297060352.00|
|          |      |              |      |      |      |
|466       |2017  |4750.00|5795969236992.00 |2446978.00|350948153098240.00|
|          |      |              |      |      |      |
|467       |2017  |4760.00|6056787836928.00 |2461933.75|370250272997376.00|
|          |      |              |      |      |      |
|468       |2017  |4770.00|6329343148032.00 |2476961.75|390614021570560.00|
|          |      |              |      |      |      |
|469       |2017  |4780.00|6614163128320.00 |2492062.50|412097783529472.00|
|          |      |              |      |      |      |
|470       |2017  |4790.00|6911800377344.00 |2507236.00|434763131256832.00|
|          |      |              |      |      |      |
|471       |2017  |4800.00|7222831087616.00 |2522482.75|458675093241856.00|
|          |      |              |      |      |      |
|472       |2017  |4810.00|7547858190336.00 |2537803.00|483902187634688.00|
|          |      |              |      |      |      |
|473       |2017  |4820.00|7887511355392.00 |2553197.25|510516791345152.00|
|          |      |              |      |      |      |
|474       |2017  |4830.00|8242449088512.00 |2568665.50|538595173597184.00|
|          |      |              |      |      |      |
|475       |2017  |4840.00|8613358731264.00 |2584208.25|568217865027584.00|
|          |      |              |      |      |      |
|476       |2017  |4850.00|9000959606784.00 |2599825.75|599469791903744.00|
|          |      |              |      |      |      |
|477       |2017  |4860.00|9406002495488.00 |2615518.25|632440578113536.00|
|          |      |              |      |      |      |
|478       |2017  |4870.00|9829271732224.00 |2631286.25|667224780046336.00|
|          |      |              |      |      |      |
|479       |2017  |4880.00|10271588352000.00 |2647130.00|703922121474048.00|
|          |      |              |      |      |      |
|480       |2017  |4890.00|10733809041408.00 |2663049.75|742637829095424.00|
|          |      |              |      |      |      |
|481       |2017  |4900.00|11216830332928.00 |2679045.75|783482900971520.00|
|          |      |              |      |      |      |
|482       |2017  |4910.00|11721587556352.00 |2695118.50|826574442070016.00|
|          |      |              |      |      |      |
|483       |2017  |4920.00|12249057984512.00 |2711268.25|872035999809536.00|
|          |      |              |      |      |      |
|484       |2017  |4930.00|12800265027584.00 |2727495.25|919997966712832.00|
|          |      |              |      |      |      |
|485       |2017  |4940.00|13376276135936.00 |2743799.75|970597781733376.00|
|          |      |              |      |      |      |
|486       |2017  |4950.00|13978208043008.00 |2760182.25|1023980601344000.00|
|          |      |              |      |      |      |
|487       |2017  |4960.00|14607226765312.00 |2776643.00|1080299500863488.00|
|          |      |              |      |      |      |
|488       |2017  |4970.00|15264551796736.00 |2793182.25|1139715877109760.00|
|          |      |              |      |      |      |
|489       |2017  |4980.00|15951456108544.00 |2809800.50|1202400253706240.00|
|          |      |              |      |      |      |
|490       |2017  |4990.00|16669271392256.00 |2826498.00|1268532146864128.00|
|          |      |              |      |      |      |
|491       |2017  |5000.00|17419388059648.00 |2843275.00|1338301340450816.00|
|          |      |              |      |      |      |
|492       |2017  |5010.00|18203260485632.00 |2860132.00|1411907818881024.00|
|          |      |              |      |      |      |
|493       |2017  |5020.00|19022405959680.00 |2877069.25|1489562706640896.00|
|          |      |              |      |      |      |
|494       |2017  |5030.00|19878413074432.00 |2894087.00|1571488536723456.00|
|          |      |              |      |      |      |
|495       |2017  |5040.00|20772940677120.00 |2911185.75|1657920324370432.00|
|          |      |              |      |      |      |
|496       |2017  |5050.00|21707723112448.00 |2928365.75|1749105835507712.00|
|          |      |              |      |      |      |
|497       |2017  |5060.00|22684570222592.00 |2945627.25|1845306526269440.00|
|          |      |              |      |      |      |
|498       |2017  |5070.00|23705375735808.00 |2962970.75|1946798348304384.00|
|          |      |              |      |      |      |
|499       |2017  |5080.00|24772117266432.00 |2980396.50|2053872151429120.00|
|          |      |              |      |      |      |
|500       |2017  |5090.00|25886860509184.00 |2997904.75|2166835025805312.00|
|          |      |              |      |      |      |
|501       |2017  |5100.00|27051767627776.00 |3015496.00|2286010838810624.00|
|          |      |              |      |      |      |
|502       |2017  |5110.00|28269095157760.00 |3033170.50|2411741442998272.00|
|          |      |              |      |      |      |
|503       |2017  |5120.00|29541202395136.00 |3050928.75|2544387212967936.00|
|          |      |              |      |      |      |
|504       |2017  |5130.00|30870555590656.00 |3068771.00|2684328253325312.00|
|          |      |              |      |      |      |
|505       |2017  |5140.00|32259730046976.00 |3086697.50|2831966143512576.00|
|          |      |              |      |      |      |
|506       |2017  |5150.00|33711416410112.00 |3104708.75|2987724206243840.00|
|          |      |              |      |      |      |
|507       |2017  |5160.00|35228429058048.00 |3122805.00|3152048849682432.00|
|          |      |              |      |      |      |
|508       |2017  |5170.00|36813708197888.00 |3140986.75|3325411446489088.00|
|          |      |              |      |      |      |
|509       |2017  |5180.00|38470324060160.00 |3159254.25|3508308870692864.00|
|          |      |              |      |      |      |
|510       |2017  |5190.00|40201485287424.00 |3177607.75|3701265645174784.00|
|          |      |              |      |      |      |
|511       |2017  |5200.00|42010551517184.00 |3196047.75|3904835015409664.00|
|          |      |              |      |      |      |
|512       |2017  |5210.00|43901024993280.00 |3214574.50|4119600828514304.00|
|          |      |              |      |      |      |
|513       |2017  |5220.00|45876567343104.00 |3233188.50|4346178606989312.00|
|          |      |              |      |      |      |
|514       |2017  |5230.00|47941012160512.00 |3251890.00|4585217964638208.00|
|          |      |              |      |      |      |
|515       |2017  |5240.00|50098356617216.00 |3270679.50|4837404485615616.00|
|          |      |              |      |      |      |
|516       |2017  |5250.00|52352782434304.00 |3289557.25|5103461603475456.00|
|          |      |              |      |      |      |
|517       |2017  |5260.00|54708655882240.00 |3308523.75|5384151674912768.00|
|          |      |              |      |      |      |
|518       |2017  |5270.00|57170544558080.00 |3327579.25|5680279469424640.00|
|          |      |              |      |      |      |
|519       |2017  |5280.00|59743217385472.00 |3346724.25|5992694316793856.00|
|          |      |              |      |      |      |
|520       |2017  |5290.00|62431661391872.00 |3365959.00|6322292254572544.00|
|          |      |              |      |      |      |
|521       |2017  |5300.00|65241081708544.00 |3385283.75|6670018175565824.00|
|          |      |              |      |      |      |
|522       |2017  |5310.00|68176926736384.00 |3404699.00|7036869049057280.00|
|          |      |              |      |      |      |
|523       |2017  |5320.00|71244883951616.00 |3424205.25|7423896605163520.00|
|          |      |              |      |      |      |
|524       |2017  |5330.00|74450900877312.00 |3443802.75|7832210556059648.00|
|          |      |              |      |      |      |
|525       |2017  |5340.00|77801185083392.00 |3463492.00|8262981817204736.00|
|          |      |              |      |      |      |
|526       |2017  |5350.00|81302237741056.00 |3483273.25|8717445191696384.00|
|          |      |              |      |      |      |
|527       |2017  |5360.00|84960836845568.00 |3503147.00|9196904738979840.00|
|          |      |              |      |      |      |
|528       |2017  |5370.00|88784070770688.00 |3523113.50|9702733774848000.00|
|          |      |              |      |      |      |
|529       |2017  |5380.00|92779346657280.00 |3543173.25|10236383461376000.00|
|          |      |              |      |      |      |
|530       |2017  |5390.00|96954415579136.00 |3563326.50|10799383880663040.00|
|          |      |              |      |      |      |
|531       |2017  |5400.00|101317364154368.00 |3583573.75|11393349940412416.00|
|          |      |              |      |      |      |
|532       |2017  |5410.00|105876639711232.00 |3603915.25|12019983521415168.00|
|          |      |              |      |      |      |
|533       |2017  |5420.00|110641083842560.00 |3624351.50|12681082067484672.00|
|          |      |              |      |      |      |
|534       |2017  |5430.00|115619924017152.00 |3644883.00|13378540732940288.00|
|          |      |              |      |      |      |
|535       |2017  |5440.00|120822815522816.00 |3665510.00|14114359898800128.00|
|          |      |              |      |      |      |
|536       |2017  |5450.00|126259833077760.00 |3686233.00|14890649467748352.00|
|          |      |              |      |      |      |
|537       |2017  |5460.00|131941521162240.00 |3707052.25|15709634232844288.00|
|          |      |              |      |      |      |
|538       |2017  |5470.00|137878885629952.00 |3727968.25|16573663541198848.00|
|          |      |              |      |      |      |
|539       |2017  |5480.00|144083435651072.00 |3748981.50|17485214515200000.00|
|          |      |              |      |      |      |
|540       |2017  |5490.00|150567192100864.00 |3770092.25|18446899568705536.00|
|          |      |              |      |      |      |
